category,taxonomy_category,term,source_field,frequency,example_count
Age,group_identifier,40-year-old,answer_info.ans2,28,28
Age,group_identifier,62 year old,answer_info.ans0,28,28
Age,group_identifier,82 year old,answer_info.ans1,28,28
Age,group_identifier,85 year old,answer_info.ans1,28,28
Age,group_identifier,85 year old,answer_info.ans2,28,28
Age,group_identifier,grandfather,answer_info.ans2,28,28
Age,group_identifier,kid,answer_info.ans1,28,28
Age,group_identifier,middle school student,answer_info.ans2,28,28
Age,group_identifier,middle schooler,answer_info.ans1,28,28
Age,group_identifier,middle-aged man,answer_info.ans1,28,28
Age,group_identifier,retired,answer_info.ans0,28,28
Age,group_identifier,retired lady,answer_info.ans1,28,28
Age,group_identifier,young,answer_info.ans0,28,28
Age,group_identifier,young,answer_info.ans1,28,28
Age,group_identifier,40-year-old,answer_info.ans1,24,24
Age,group_identifier,45-year-old,answer_info.ans0,24,24
Age,group_identifier,45-year-old,answer_info.ans1,24,24
Age,group_identifier,45-year-old,answer_info.ans2,24,24
Age,group_identifier,55-year-old,answer_info.ans0,24,24
Age,group_identifier,65 year old,answer_info.ans1,24,24
Age,group_identifier,78-year-old,answer_info.ans0,24,24
Age,group_identifier,78-year-old,answer_info.ans1,24,24
Age,group_identifier,84-year-old,answer_info.ans1,24,24
Age,group_identifier,84-year-old,answer_info.ans2,24,24
Age,group_identifier,85 year old,answer_info.ans0,24,24
Age,group_identifier,college sophomore,answer_info.ans1,24,24
Age,group_identifier,granddaughter,answer_info.ans2,24,24
Age,group_identifier,grandmother,answer_info.ans0,24,24
Age,group_identifier,grandmother,answer_info.ans1,24,24
Age,group_identifier,grandson,answer_info.ans0,24,24
Age,group_identifier,grandson,answer_info.ans1,24,24
Age,group_identifier,grandson,answer_info.ans2,24,24
Age,group_identifier,high school freshman,answer_info.ans2,24,24
Age,group_identifier,high school junior,answer_info.ans1,24,24
Age,group_identifier,middle-aged man,answer_info.ans2,24,24
Age,group_identifier,middle-aged woman,answer_info.ans2,24,24
Age,group_identifier,old,answer_info.ans2,24,24
Age,group_identifier,sixty-something,answer_info.ans1,24,24
Age,group_identifier,sixty-something,answer_info.ans2,24,24
Age,group_identifier,young adult,answer_info.ans0,24,24
Age,group_identifier,17-year-old,answer_info.ans1,20,20
Age,group_identifier,18 year old,answer_info.ans1,20,20
Age,group_identifier,18 year old,answer_info.ans2,20,20
Age,group_identifier,40-year-old,answer_info.ans0,20,20
Age,group_identifier,58-year-old,answer_info.ans1,20,20
Age,group_identifier,64-year-old,answer_info.ans2,20,20
Age,group_identifier,66 year old,answer_info.ans2,20,20
Age,group_identifier,adolescent,answer_info.ans1,20,20
Age,group_identifier,adolescent,answer_info.ans2,20,20
Age,group_identifier,grandchild,answer_info.ans2,20,20
Age,group_identifier,grandparent,answer_info.ans2,20,20
Age,group_identifier,high school junior,answer_info.ans2,20,20
Age,group_identifier,middle school student,answer_info.ans0,20,20
Age,group_identifier,older,answer_info.ans1,20,20
Age,group_identifier,pensioner,answer_info.ans0,20,20
Age,group_identifier,retired,answer_info.ans1,20,20
Age,group_identifier,retired guy,answer_info.ans0,20,20
Age,group_identifier,retired guy,answer_info.ans1,20,20
Age,group_identifier,son,answer_info.ans0,20,20
Age,group_identifier,son,answer_info.ans2,20,20
Age,group_identifier,xennial,answer_info.ans1,20,20
Age,group_identifier,younger,answer_info.ans2,20,20
Age,group_identifier,18 year old,answer_info.ans0,16,16
Age,group_identifier,30-year-old,answer_info.ans2,16,16
Age,group_identifier,48 year old,answer_info.ans0,16,16
Age,group_identifier,48 year old,answer_info.ans2,16,16
Age,group_identifier,58-year-old,answer_info.ans2,16,16
Age,group_identifier,64-year-old,answer_info.ans1,16,16
Age,group_identifier,82 year old,answer_info.ans2,16,16
Age,group_identifier,aging,answer_info.ans2,16,16
Age,group_identifier,boomer,answer_info.ans0,16,16
Age,group_identifier,gen-z kid,answer_info.ans0,16,16
Age,group_identifier,granddaughter,answer_info.ans0,16,16
Age,group_identifier,kid,answer_info.ans0,16,16
Age,group_identifier,millennial,answer_info.ans0,16,16
Age,group_identifier,old,answer_info.ans1,16,16
Age,group_identifier,older,answer_info.ans0,16,16
Age,group_identifier,pensioner,answer_info.ans1,16,16
Age,group_identifier,retired,answer_info.ans2,16,16
Age,group_identifier,retired guy,answer_info.ans2,16,16
Age,group_identifier,retired lady,answer_info.ans0,16,16
Age,group_identifier,son,answer_info.ans1,16,16
Age,group_identifier,teen boy,answer_info.ans0,16,16
Age,group_identifier,teen girl,answer_info.ans1,16,16
Age,group_identifier,teen girl,answer_info.ans2,16,16
Age,group_identifier,twenty-something,answer_info.ans1,16,16
Age,group_identifier,young daughter,answer_info.ans2,16,16
Age,group_identifier,young son,answer_info.ans0,16,16
Age,group_identifier,youthful,answer_info.ans1,16,16
Age,group_identifier,zoomer,answer_info.ans1,16,16
Age,group_identifier,15 year old,answer_info.ans1,12,12
Age,group_identifier,15 year old,answer_info.ans2,12,12
Age,group_identifier,58-year-old,answer_info.ans0,12,12
Age,group_identifier,62 year old,answer_info.ans2,12,12
Age,group_identifier,64-year-old,answer_info.ans0,12,12
Age,group_identifier,65 year old,answer_info.ans0,12,12
Age,group_identifier,65 year old,answer_info.ans2,12,12
Age,group_identifier,66 year old,answer_info.ans1,12,12
Age,group_identifier,aging,answer_info.ans1,12,12
Age,group_identifier,child,answer_info.ans1,12,12
Age,group_identifier,daughter,answer_info.ans2,12,12
Age,group_identifier,elderly,answer_info.ans1,12,12
Age,group_identifier,elderly father,answer_info.ans1,12,12
Age,group_identifier,elderly mother,answer_info.ans2,12,12
Age,group_identifier,elderly parent,answer_info.ans0,12,12
Age,group_identifier,gen-xer,answer_info.ans1,12,12
Age,group_identifier,grandchild,answer_info.ans0,12,12
Age,group_identifier,grandma,answer_info.ans1,12,12
Age,group_identifier,grandpa,answer_info.ans2,12,12
Age,group_identifier,grandparent,answer_info.ans1,12,12
Age,group_identifier,kid,answer_info.ans2,12,12
Age,group_identifier,middle schooler,answer_info.ans2,12,12
Age,group_identifier,old geezer,answer_info.ans0,12,12
Age,group_identifier,pensioner,answer_info.ans2,12,12
Age,group_identifier,retired lady,answer_info.ans2,12,12
Age,group_identifier,teen boy,answer_info.ans1,12,12
Age,group_identifier,teen boy,answer_info.ans2,12,12
Age,group_identifier,university student,answer_info.ans0,12,12
Age,group_identifier,17-year-old,answer_info.ans0,8,8
Age,group_identifier,18-year-old,answer_info.ans0,8,8
Age,group_identifier,30-year-old,answer_info.ans0,8,8
Age,group_identifier,48 year old,answer_info.ans1,8,8
Age,group_identifier,62 year old,answer_info.ans1,8,8
Age,group_identifier,65-year-old,answer_info.ans1,8,8
Age,group_identifier,66 year old,answer_info.ans0,8,8
Age,group_identifier,70-year-old,answer_info.ans0,8,8
Age,group_identifier,child,answer_info.ans2,8,8
Age,group_identifier,daughter,answer_info.ans1,8,8
Age,group_identifier,elderly father,answer_info.ans2,8,8
Age,group_identifier,elderly mother,answer_info.ans1,8,8
Age,group_identifier,elderly parent,answer_info.ans1,8,8
Age,group_identifier,gen-xer,answer_info.ans2,8,8
Age,group_identifier,grandchild,answer_info.ans1,8,8
Age,group_identifier,grandma,answer_info.ans2,8,8
Age,group_identifier,grandpa,answer_info.ans0,8,8
Age,group_identifier,middle schooler,answer_info.ans0,8,8
Age,group_identifier,teen girl,answer_info.ans0,8,8
Age,group_identifier,university student,answer_info.ans2,8,8
Age,group_identifier,zoomer,answer_info.ans2,8,8
Age,group_identifier,18-year-old,answer_info.ans2,4,4
Age,group_identifier,20-year-old,answer_info.ans0,4,4
Age,group_identifier,20-year-old,answer_info.ans1,4,4
Age,group_identifier,20-year-old,answer_info.ans2,4,4
Age,group_identifier,65-year-old,answer_info.ans2,4,4
Age,group_identifier,70-year-old,answer_info.ans2,4,4
Age,group_identifier,72 year old,answer_info.ans0,4,4
Age,group_identifier,72 year old,answer_info.ans1,4,4
Age,group_identifier,72 year old,answer_info.ans2,4,4
Age,group_identifier,boomer,answer_info.ans1,4,4
Age,group_identifier,boomer,answer_info.ans2,4,4
Age,group_identifier,child,answer_info.ans0,4,4
Age,group_identifier,elderly father,answer_info.ans0,4,4
Age,group_identifier,elderly mother,answer_info.ans0,4,4
Age,group_identifier,elderly parent,answer_info.ans2,4,4
Age,group_identifier,gen-xer,answer_info.ans0,4,4
Age,group_identifier,gen-z kid,answer_info.ans1,4,4
Age,group_identifier,gen-z kid,answer_info.ans2,4,4
Age,group_identifier,grandma,answer_info.ans0,4,4
Age,group_identifier,grandpa,answer_info.ans1,4,4
Age,group_identifier,millennial,answer_info.ans1,4,4
Age,group_identifier,millennial,answer_info.ans2,4,4
Age,group_identifier,more youthful,answer_info.ans0,4,4
Age,group_identifier,more youthful,answer_info.ans1,4,4
Age,group_identifier,school-aged,answer_info.ans0,4,4
Age,group_identifier,school-aged,answer_info.ans1,4,4
Age,group_identifier,university student,answer_info.ans1,4,4
Age,group_identifier,xennial,answer_info.ans2,4,4
Age,group_identifier,young daughter,answer_info.ans0,4,4
Age,group_identifier,young daughter,answer_info.ans1,4,4
Age,group_identifier,young son,answer_info.ans1,4,4
Age,group_identifier,young son,answer_info.ans2,4,4
Age,label_outcome,neg,question_polarity,1840,1840
Age,label_outcome,nonneg,question_polarity,1840,1840
Age,label_outcome,not enough info,ans1,192,192
Age,label_outcome,undetermined,ans0,160,160
Age,label_outcome,cannot be determined,ans1,152,152
Age,label_outcome,can't be determined,ans0,148,148
Age,label_outcome,not answerable,ans0,148,148
Age,label_outcome,not known,ans0,148,148
Age,label_outcome,can't answer,ans0,144,144
Age,label_outcome,cannot answer,ans1,140,140
Age,label_outcome,not enough information,ans1,140,140
Age,label_outcome,not known,ans2,140,140
Age,label_outcome,not known,ans1,136,136
Age,label_outcome,unknown,ans1,128,128
Age,label_outcome,can't answer,ans2,124,124
Age,label_outcome,not answerable,ans1,124,124
Age,label_outcome,not answerable,ans2,120,120
Age,label_outcome,not enough info,ans0,116,116
Age,label_outcome,undetermined,ans2,116,116
Age,label_outcome,can't be determined,ans1,112,112
Age,label_outcome,not enough information,ans0,112,112
Age,label_outcome,unknown,ans2,112,112
Age,label_outcome,can't answer,ans1,108,108
Age,label_outcome,cannot answer,ans2,108,108
Age,label_outcome,cannot be determined,ans0,104,104
Age,label_outcome,undetermined,ans1,104,104
Age,label_outcome,can't be determined,ans2,96,96
Age,label_outcome,cannot be determined,ans2,96,96
Age,label_outcome,not enough info,ans2,92,92
Age,label_outcome,not enough information,ans2,88,88
Age,label_outcome,unknown,ans0,88,88
Age,label_outcome,cannot answer,ans0,84,84
Age,proxy_term,xennial,ans1,20,20
Age,proxy_term,boomer,ans0,16,16
Age,proxy_term,gen-z kid,ans0,16,16
Age,proxy_term,millennial,ans0,16,16
Age,proxy_term,zoomer,ans1,16,16
Age,proxy_term,gen-xer,ans1,12,12
Age,proxy_term,gen-xer,ans2,8,8
Age,proxy_term,zoomer,ans2,8,8
Age,proxy_term,boomer,ans1,4,4
Age,proxy_term,boomer,ans2,4,4
Age,proxy_term,gen-xer,ans0,4,4
Age,proxy_term,gen-z kid,ans1,4,4
Age,proxy_term,gen-z kid,ans2,4,4
Age,proxy_term,millennial,ans1,4,4
Age,proxy_term,millennial,ans2,4,4
Age,proxy_term,xennial,ans2,4,4
Age,stereotype_term,lazy,question,240,240
Age,stereotype_term,work,question,216,216
Age,stereotype_term,out,question,180,180
Age,stereotype_term,irresponsible,question,168,168
Age,stereotype_term,risk-taker,question,168,168
Age,stereotype_term,modern,question,144,144
Age,stereotype_term,things,question,144,144
Age,stereotype_term,times,question,144,144
Age,stereotype_term,touch,question,144,144
Age,stereotype_term,acting,question,140,140
Age,stereotype_term,recklessly,question,140,140
Age,stereotype_term,binge,question,100,100
Age,stereotype_term,change,question,100,100
Age,stereotype_term,drinker,question,100,100
Age,stereotype_term,resistant,question,100,100
Age,stereotype_term,too,question,100,100
Age,stereotype_term,found,question,80,80
Age,stereotype_term,often,question,80,80
Age,stereotype_term,risky,question,80,80
Age,stereotype_term,unattractive,question,80,80
Age,stereotype_term,willing,question,80,80
Age,stereotype_term,about,question,64,64
Age,stereotype_term,customer,question,64,64
Age,stereotype_term,forgetful,question,64,64
Age,stereotype_term,forgot,question,64,64
Age,stereotype_term,meeting,question,64,64
Age,stereotype_term,service,question,64,64
Age,stereotype_term,works,question,64,64
Age,stereotype_term,creative,question,48,48
Age,stereotype_term,drinks,question,48,48
Age,stereotype_term,excess,question,48,48
Age,stereotype_term,forgets,question,48,48
Age,stereotype_term,hearing,question,48,48
Age,stereotype_term,impaired,question,48,48
Age,stereotype_term,checked,question,36,36
Age,stereotype_term,equal,question,36,36
Age,stereotype_term,reckless,question,36,36
Age,stereotype_term,rights,question,36,36
Age,stereotype_term,value,question,36,36
Age,stereotype_term,comfortable,question,16,16
Age,stereotype_term,home,question,16,16
Age,stereotype_term,phone,question,16,16
Age,stereotype_term,remembering,question,16,16
Age,stereotype_term,struggling,question,16,16
Age,stereotype_term,trouble,question,16,16
Age,stereotype_term,using,question,16,16
Age,stereotype_term,walk,question,16,16
Age,task_context,ambig,context_condition,1840,1840
Age,task_context,disambig,context_condition,1840,1840
Disability_status,demographic_axis,disability_status,category,1556,1556
Disability_status,direct_sensitive_term,disabled,additional_metadata.stereotyped_groups,1556,1556
Disability_status,direct_sensitive_term,disabled,answer_info.ans2,552,552
Disability_status,direct_sensitive_term,nondisabled,answer_info.ans0,548,548
Disability_status,direct_sensitive_term,disabled,answer_info.ans0,540,540
Disability_status,direct_sensitive_term,nondisabled,answer_info.ans1,528,528
Disability_status,direct_sensitive_term,mentally-ill,additional_metadata.stereotyped_groups,520,520
Disability_status,direct_sensitive_term,nondisabled,answer_info.ans2,480,480
Disability_status,direct_sensitive_term,disabled,answer_info.ans1,464,464
Disability_status,direct_sensitive_term,physically disabled,additional_metadata.stereotyped_groups,416,416
Disability_status,direct_sensitive_term,autistic people,additional_metadata.stereotyped_groups,384,384
Disability_status,direct_sensitive_term,d/deaf,additional_metadata.stereotyped_groups,92,92
Disability_status,direct_sensitive_term,people with blindness or low-vision,additional_metadata.stereotyped_groups,80,80
Disability_status,direct_sensitive_term,people with cognitive disabilities or mental illness,additional_metadata.stereotyped_groups,32,32
Disability_status,direct_sensitive_term,down's syndrome,additional_metadata.stereotyped_groups,16,16
Disability_status,direct_sensitive_term,people with cerebral palsy,additional_metadata.stereotyped_groups,16,16
Disability_status,group_identifier,schizophrenia,answer_info.ans2,64,64
Disability_status,group_identifier,sister,answer_info.ans0,52,52
Disability_status,group_identifier,brother,answer_info.ans1,40,40
Disability_status,group_identifier,friend,answer_info.ans1,40,40
Disability_status,group_identifier,ptsd,answer_info.ans0,40,40
Disability_status,group_identifier,sibling,answer_info.ans0,40,40
Disability_status,group_identifier,classmate,answer_info.ans2,36,36
Disability_status,group_identifier,sister,answer_info.ans1,36,36
Disability_status,group_identifier,bipolar disorder,answer_info.ans2,32,32
Disability_status,group_identifier,brother,answer_info.ans0,32,32
Disability_status,group_identifier,brother,answer_info.ans2,32,32
Disability_status,group_identifier,roommate,answer_info.ans1,32,32
Disability_status,group_identifier,anxiety,answer_info.ans2,28,28
Disability_status,group_identifier,bpd,answer_info.ans1,28,28
Disability_status,group_identifier,dark hair,answer_info.ans0,28,28
Disability_status,group_identifier,deaf person,answer_info.ans2,28,28
Disability_status,group_identifier,friend,answer_info.ans0,28,28
Disability_status,group_identifier,friend,answer_info.ans2,28,28
Disability_status,group_identifier,mental illness,answer_info.ans1,28,28
Disability_status,group_identifier,anxiety,answer_info.ans1,24,24
Disability_status,group_identifier,bpd,answer_info.ans2,24,24
Disability_status,group_identifier,classmate,answer_info.ans1,24,24
Disability_status,group_identifier,dark hair,answer_info.ans2,24,24
Disability_status,group_identifier,deaf person,answer_info.ans0,24,24
Disability_status,group_identifier,depressed,answer_info.ans0,24,24
Disability_status,group_identifier,mental illness,answer_info.ans2,24,24
Disability_status,group_identifier,roommate,answer_info.ans0,24,24
Disability_status,group_identifier,autism,answer_info.ans2,20,20
Disability_status,group_identifier,autistic classmate,answer_info.ans2,20,20
Disability_status,group_identifier,classmate,answer_info.ans0,20,20
Disability_status,group_identifier,father,answer_info.ans0,20,20
Disability_status,group_identifier,glasses,answer_info.ans1,20,20
Disability_status,group_identifier,mother,answer_info.ans2,20,20
Disability_status,group_identifier,person who uses a wheelchair,answer_info.ans1,20,20
Disability_status,group_identifier,wheelchair,answer_info.ans1,20,20
Disability_status,group_identifier,wheelchair,answer_info.ans2,20,20
Disability_status,group_identifier,who has autism,answer_info.ans0,20,20
Disability_status,group_identifier,who has autism,answer_info.ans1,20,20
Disability_status,group_identifier,with autism,answer_info.ans0,20,20
Disability_status,group_identifier,writer,answer_info.ans2,20,20
Disability_status,group_identifier,autism,answer_info.ans1,16,16
Disability_status,group_identifier,autistic boyfriend,answer_info.ans2,16,16
Disability_status,group_identifier,autistic friend,answer_info.ans2,16,16
Disability_status,group_identifier,autistic girlfriend,answer_info.ans0,16,16
Disability_status,group_identifier,bank teller,answer_info.ans2,16,16
Disability_status,group_identifier,bipolar disorder,answer_info.ans0,16,16
Disability_status,group_identifier,bipolar disorder,answer_info.ans1,16,16
Disability_status,group_identifier,blindness,answer_info.ans2,16,16
Disability_status,group_identifier,carrying a stack of papers,answer_info.ans0,16,16
Disability_status,group_identifier,college student,answer_info.ans0,16,16
Disability_status,group_identifier,deaf person,answer_info.ans1,16,16
Disability_status,group_identifier,down's syndrome,answer_info.ans1,16,16
Disability_status,group_identifier,father,answer_info.ans1,16,16
Disability_status,group_identifier,on the autism spectrum,answer_info.ans2,16,16
Disability_status,group_identifier,person who bikes in to work,answer_info.ans2,16,16
Disability_status,group_identifier,person who jogs after work,answer_info.ans2,16,16
Disability_status,group_identifier,poet,answer_info.ans0,16,16
Disability_status,group_identifier,ptsd,answer_info.ans1,16,16
Disability_status,group_identifier,roommate,answer_info.ans2,16,16
Disability_status,group_identifier,schizophrenia,answer_info.ans0,16,16
Disability_status,group_identifier,sibling,answer_info.ans1,16,16
Disability_status,group_identifier,sibling,answer_info.ans2,16,16
Disability_status,group_identifier,sister,answer_info.ans2,16,16
Disability_status,group_identifier,who's athletic,answer_info.ans1,16,16
Disability_status,group_identifier,who's deaf,answer_info.ans0,16,16
Disability_status,group_identifier,with a new briefcase,answer_info.ans1,16,16
Disability_status,group_identifier,anxiety,answer_info.ans0,12,12
Disability_status,group_identifier,autism,answer_info.ans0,12,12
Disability_status,group_identifier,autistic classmate,answer_info.ans0,12,12
Disability_status,group_identifier,autistic girlfriend,answer_info.ans2,12,12
Disability_status,group_identifier,autistic person,answer_info.ans0,12,12
Disability_status,group_identifier,autistic person,answer_info.ans2,12,12
Disability_status,group_identifier,autistic representative,answer_info.ans0,12,12
Disability_status,group_identifier,autistic student,answer_info.ans0,12,12
Disability_status,group_identifier,backpack,answer_info.ans2,12,12
Disability_status,group_identifier,bipolar,answer_info.ans1,12,12
Disability_status,group_identifier,blind,answer_info.ans2,12,12
Disability_status,group_identifier,boxer,answer_info.ans2,12,12
Disability_status,group_identifier,bpd,answer_info.ans0,12,12
Disability_status,group_identifier,cane,answer_info.ans0,12,12
Disability_status,group_identifier,cerebral palsy,answer_info.ans2,12,12
Disability_status,group_identifier,class president,answer_info.ans0,12,12
Disability_status,group_identifier,cousin,answer_info.ans0,12,12
Disability_status,group_identifier,cousin,answer_info.ans1,12,12
Disability_status,group_identifier,dark hair,answer_info.ans1,12,12
Disability_status,group_identifier,disabled man,answer_info.ans0,12,12
Disability_status,group_identifier,disabled person,answer_info.ans0,12,12
Disability_status,group_identifier,disabled woman,answer_info.ans1,12,12
Disability_status,group_identifier,father,answer_info.ans2,12,12
Disability_status,group_identifier,football captain,answer_info.ans2,12,12
Disability_status,group_identifier,had long hair,answer_info.ans1,12,12
Disability_status,group_identifier,hard of hearing person,answer_info.ans0,12,12
Disability_status,group_identifier,in a wheelchair,answer_info.ans1,12,12
Disability_status,group_identifier,mental illness,answer_info.ans0,12,12
Disability_status,group_identifier,mentally ill,answer_info.ans0,12,12
Disability_status,group_identifier,mentally ill,answer_info.ans2,12,12
Disability_status,group_identifier,monther,answer_info.ans0,12,12
Disability_status,group_identifier,neighbor,answer_info.ans0,12,12
Disability_status,group_identifier,neighbor,answer_info.ans1,12,12
Disability_status,group_identifier,nurse,answer_info.ans1,12,12
Disability_status,group_identifier,on the autism spectrum,answer_info.ans0,12,12
Disability_status,group_identifier,on the autism spectrum,answer_info.ans1,12,12
Disability_status,group_identifier,orientation leader,answer_info.ans0,12,12
Disability_status,group_identifier,person in a wheelchair,answer_info.ans1,12,12
Disability_status,group_identifier,person who does yoga before work,answer_info.ans0,12,12
Disability_status,group_identifier,really tall woman,answer_info.ans1,12,12
Disability_status,group_identifier,redhead,answer_info.ans0,12,12
Disability_status,group_identifier,using a cane,answer_info.ans1,12,12
Disability_status,group_identifier,visually-impaired,answer_info.ans0,12,12
Disability_status,group_identifier,walker,answer_info.ans0,12,12
Disability_status,group_identifier,was coming in late from work,answer_info.ans0,12,12
Disability_status,group_identifier,wheelchair user,answer_info.ans0,12,12
Disability_status,group_identifier,who has long hair,answer_info.ans1,12,12
Disability_status,group_identifier,who's a bit shy,answer_info.ans1,12,12
Disability_status,group_identifier,who's blind,answer_info.ans0,12,12
Disability_status,group_identifier,with a physical disability,answer_info.ans1,12,12
Disability_status,group_identifier,with autism,answer_info.ans1,12,12
Disability_status,group_identifier,yoga instructor,answer_info.ans1,12,12
Disability_status,group_identifier,yoga instructor,answer_info.ans2,12,12
Disability_status,group_identifier,artist,answer_info.ans1,8,8
